                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.93989,                0.67747,                 1.2181,                0.87404,                0.82557,                0.89869,                0.64493,                 0.9764,                0.58683,                 1.1852,              0.0062875,              0.0062875,              0.0062875
                     78,                0.93978,                0.68076,                 1.2211,                0.87386,                0.82649,                0.89919,                0.64573,                 0.9767,                0.58513,                 1.1853,               0.006238,               0.006238,               0.006238
                     79,                0.93343,                0.67217,                 1.2104,                0.87487,                0.82451,                 0.8993,                0.64571,                0.97658,                0.58358,                  1.185,              0.0061885,              0.0061885,              0.0061885
                     80,                0.92917,                0.67183,                 1.2125,                0.87379,                0.82523,                0.89887,                 0.6452,                0.97682,                0.58262,                  1.185,               0.006139,               0.006139,               0.006139
                     81,                0.93087,                0.67333,                 1.2148,                0.87648,                0.82361,                0.89921,                0.64563,                0.97732,                0.58167,                 1.1854,              0.0060895,              0.0060895,              0.0060895
                     82,                 0.9299,                0.66918,                 1.2128,                0.87667,                0.82384,                0.89943,                0.64655,                0.97739,                0.58095,                 1.1853,                0.00604,                0.00604,                0.00604
                     83,                0.93145,                 0.6683,                 1.2083,                0.87414,                0.82329,                0.89913,                0.64643,                0.97733,                0.57994,                  1.185,              0.0059905,              0.0059905,              0.0059905
                     84,                0.92634,                0.66765,                 1.2093,                0.88254,                0.82105,                0.89932,                0.64721,                0.97752,                0.57894,                 1.1852,               0.005941,               0.005941,               0.005941
                     85,                0.92726,                0.66252,                 1.2056,                0.87953,                0.82318,                0.89978,                0.64816,                0.97713,                0.57754,                 1.1846,              0.0058915,              0.0058915,              0.0058915
                     86,                0.92796,                0.66428,                 1.2066,                0.88041,                0.82278,                0.89943,                0.64811,                 0.9774,                0.57681,                 1.1845,               0.005842,               0.005842,               0.005842
                     87,                0.92493,                0.65709,                   1.21,                0.88205,                0.82348,                0.89963,                0.64845,                0.97766,                0.57638,                  1.185,              0.0057925,              0.0057925,              0.0057925
                     88,                0.91987,                0.65568,                  1.208,                0.87609,                0.82601,                0.89952,                 0.6491,                0.97769,                0.57602,                 1.1855,               0.005743,               0.005743,               0.005743
                     89,                0.91692,                0.65053,                 1.2067,                0.87359,                0.82806,                0.89982,                0.64952,                0.97742,                0.57452,                 1.1856,              0.0056935,              0.0056935,              0.0056935
                     90,                0.91515,                0.65112,                 1.2033,                0.87364,                0.82811,                0.89984,                0.64962,                0.97785,                0.57372,                  1.186,               0.005644,               0.005644,               0.005644
                     91,                0.91304,                0.65166,                 1.1975,                0.87324,                0.82995,                0.90005,                0.64978,                0.97798,                 0.5728,                 1.1862,              0.0055945,              0.0055945,              0.0055945
